# Region type : patch inlet
# Faces       : 25
# Area        : 1.000000e-01
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)
1             	2.183970e+02
2             	6.809221e+02
3             	8.351993e+02
4             	7.234104e+02
5             	4.776631e+02
6             	2.064214e+02
7             	-1.186970e+01
8             	-1.482807e+02
9             	-1.972113e+02
10            	-1.818536e+02
11            	-1.344807e+02
12            	-8.153726e+01
13            	-3.966444e+01
14            	-1.622641e+01
15            	-1.057406e+01
16            	-1.602096e+01
17            	-2.324276e+01
18            	-2.698410e+01
19            	-2.411421e+01
20            	-1.501833e+01
21            	-2.904119e+00
22            	9.080568e+00
23            	1.771131e+01
24            	2.137669e+01
25            	2.007851e+01
26            	1.481179e+01
27            	7.326140e+00
28            	-6.815242e-01
29            	-7.577761e+00
30            	-1.248292e+01
31            	-1.512387e+01
32            	-1.599443e+01
33            	-1.565363e+01
34            	-1.451947e+01
35            	-1.293139e+01
36            	-1.137678e+01
37            	-9.837681e+00
38            	-8.337957e+00
39            	-6.948242e+00
40            	-5.780171e+00
41            	-4.773358e+00
42            	-4.113140e+00
43            	-3.747428e+00
44            	-3.652048e+00
45            	-3.830933e+00
46            	-4.224733e+00
47            	-4.796281e+00
48            	-5.471499e+00
49            	-6.129035e+00
50            	-6.737774e+00
51            	-7.200790e+00
52            	-7.461373e+00
53            	-7.578838e+00
54            	-7.551085e+00
55            	-7.404978e+00
56            	-7.178691e+00
57            	-6.903720e+00
58            	-6.627589e+00
59            	-6.386266e+00
60            	-6.207844e+00
61            	-6.076055e+00
62            	-5.986776e+00
63            	-5.935751e+00
64            	-5.924726e+00
65            	-5.964599e+00
66            	-6.037664e+00
67            	-6.123632e+00
68            	-6.213377e+00
69            	-6.289426e+00
70            	-6.341620e+00
71            	-6.370768e+00
72            	-6.377142e+00
73            	-6.369017e+00
74            	-6.346224e+00
75            	-6.308565e+00
76            	-6.265788e+00
77            	-6.222555e+00
78            	-6.180794e+00
79            	-6.142685e+00
80            	-6.109242e+00
81            	-6.079808e+00
82            	-6.055023e+00
83            	-6.040975e+00
84            	-6.036708e+00
85            	-6.037678e+00
86            	-6.040756e+00
87            	-6.044425e+00
88            	-6.044339e+00
89            	-6.041372e+00
90            	-6.034928e+00
91            	-6.025867e+00
92            	-6.012501e+00
93            	-5.998435e+00
94            	-5.983753e+00
95            	-5.970667e+00
96            	-5.957575e+00
97            	-5.943917e+00
98            	-5.929209e+00
99            	-5.913914e+00
100           	-5.897558e+00
101           	-5.880622e+00
102           	-5.864083e+00
103           	-5.848597e+00
