# Force and moment coefficients
# dragDir     : (-1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 -1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (-1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 -1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.044000e+00
# Aref        : 1.120320e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	8.466684e-04	2.973028e-04	5.493656e-04	6.870156e-04	6.320382e-04	5.497743e-05	2.885304e-04	-1.260314e-04	1.499626e-04	1.440256e-05	1.571639e-04	-1.427613e-04
2             	1.754972e-02	6.891780e-03	1.065794e-02	1.021076e-02	9.197106e-03	1.013650e-03	4.091728e-03	-1.883079e-03	3.187845e-03	1.429715e-04	3.259330e-03	-3.116359e-03
3             	5.944711e-02	2.319532e-02	3.625178e-02	3.527179e-02	3.238633e-02	2.885467e-03	1.475043e-02	-6.528231e-03	1.090462e-02	3.266504e-04	1.106795e-02	-1.074130e-02
4             	9.642448e-02	3.739602e-02	5.902846e-02	5.821053e-02	5.354518e-02	4.665348e-03	2.443992e-02	-1.081622e-02	1.787427e-02	2.136322e-04	1.798109e-02	-1.776746e-02
5             	1.256144e-01	4.881933e-02	7.679505e-02	7.501628e-02	6.881046e-02	6.205825e-03	3.130232e-02	-1.398786e-02	2.352136e-02	-1.077809e-04	2.346747e-02	-2.357525e-02
6             	1.479126e-01	5.726770e-02	9.064493e-02	8.862674e-02	8.137771e-02	7.249035e-03	3.706434e-02	-1.668862e-02	2.845849e-02	-1.382175e-03	2.776741e-02	-2.914958e-02
7             	1.637344e-01	6.307173e-02	1.006627e-01	9.866052e-02	9.092690e-02	7.733619e-03	4.159664e-02	-1.879547e-02	3.249849e-02	-3.200624e-03	3.089817e-02	-3.409880e-02
8             	1.767761e-01	6.800413e-02	1.087720e-01	1.060535e-01	9.818309e-02	7.870377e-03	4.515636e-02	-2.038392e-02	3.587607e-02	-4.812866e-03	3.346964e-02	-3.828251e-02
9             	1.907023e-01	7.376635e-02	1.169359e-01	1.120177e-01	1.041310e-01	7.886683e-03	4.812215e-02	-2.158479e-02	3.884914e-02	-5.499413e-03	3.609944e-02	-4.159885e-02
10            	2.039109e-01	7.985099e-02	1.240599e-01	1.150943e-01	1.073663e-01	7.727947e-03	4.981918e-02	-2.210447e-02	4.103570e-02	-5.098923e-03	3.848624e-02	-4.358516e-02
11            	2.157629e-01	8.602994e-02	1.297329e-01	1.146897e-01	1.072204e-01	7.469338e-03	4.987553e-02	-2.185148e-02	4.240976e-02	-3.759873e-03	4.052982e-02	-4.428970e-02
12            	2.273667e-01	9.256021e-02	1.348065e-01	1.120761e-01	1.047148e-01	7.361353e-03	4.867672e-02	-2.112314e-02	4.343992e-02	-1.925128e-03	4.247735e-02	-4.440248e-02
13            	2.378815e-01	9.903880e-02	1.388427e-01	1.071528e-01	9.983817e-02	7.314649e-03	4.626176e-02	-1.990195e-02	4.398803e-02	3.967248e-04	4.418639e-02	-4.378966e-02
14            	2.491567e-01	1.061079e-01	1.430488e-01	1.009439e-01	9.339809e-02	7.545819e-03	4.292613e-02	-1.847045e-02	4.484131e-02	2.502707e-03	4.609266e-02	-4.358996e-02
15            	2.619896e-01	1.138448e-01	1.481448e-01	9.477778e-02	8.654641e-02	8.231369e-03	3.915752e-02	-1.714998e-02	4.645713e-02	3.837694e-03	4.837598e-02	-4.453828e-02
16            	2.761430e-01	1.219633e-01	1.541798e-01	8.932359e-02	7.989133e-02	9.432263e-03	3.522953e-02	-1.610827e-02	4.895640e-02	4.074558e-03	5.099368e-02	-4.691912e-02
