# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              -2.323922e-02 -3.953191e-04 1.885709e-02 -2.323299e-02 -3.952580e-04 1.885514e-02 -6.224956e-06 -6.112451e-08 1.955494e-06
2              -4.817018e-01 -3.924260e-03 2.802632e-01 -4.804998e-01 -3.918607e-03 2.799821e-01 -1.201967e-03 -5.652912e-06 2.811001e-04
3              -1.631695e+00 -8.965848e-03 9.681346e-01 -1.629920e+00 -8.957714e-03 9.677050e-01 -1.774364e-03 -8.134261e-06 4.296077e-04
4              -2.646644e+00 -5.863744e-03 1.597753e+00 -2.643013e+00 -5.853467e-03 1.596870e+00 -3.630450e-03 -1.027653e-05 8.837057e-04
5              -3.447843e+00 2.958354e-03 2.059035e+00 -3.442227e+00 2.968376e-03 2.057660e+00 -5.616214e-03 -1.002186e-05 1.374964e-03
6              -4.059882e+00 3.793772e-02 2.432613e+00 -4.051569e+00 3.793309e-02 2.430570e+00 -8.313218e-03 4.632173e-06 2.043082e-03
7              -4.494155e+00 8.785022e-02 2.708018e+00 -4.483017e+00 8.781473e-02 2.705271e+00 -1.113878e-02 3.549074e-05 2.746831e-03
8              -4.852122e+00 1.321028e-01 2.910939e+00 -4.838109e+00 1.320214e-01 2.907473e+00 -1.401324e-02 8.137332e-05 3.466031e-03
9              -5.234366e+00 1.509470e-01 3.074643e+00 -5.217528e+00 1.508153e-01 3.070474e+00 -1.683785e-02 1.317348e-04 4.168411e-03
10             -5.596914e+00 1.399544e-01 3.159089e+00 -5.577375e+00 1.397786e-01 3.154264e+00 -1.953979e-02 1.758368e-04 4.824682e-03
11             -5.922224e+00 1.032004e-01 3.147985e+00 -5.900119e+00 1.029953e-01 3.142567e+00 -2.210575e-02 2.051238e-04 5.418495e-03
12             -6.240725e+00 5.284060e-02 3.076248e+00 -6.216179e+00 5.262482e-02 3.070303e+00 -2.454571e-02 2.157842e-04 5.944786e-03
13             -6.529333e+00 -1.088924e-02 2.941113e+00 -6.502516e+00 -1.109355e-02 2.934716e+00 -2.681755e-02 2.043084e-04 6.397400e-03
14             -6.838813e+00 -6.869389e-02 2.770692e+00 -6.809862e+00 -6.886871e-02 2.763902e+00 -2.895114e-02 1.748266e-04 6.790648e-03
