# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              3.611497e-03 -8.267995e-03 4.297260e-03 3.611125e-03 -8.267586e-03 4.296083e-03 3.719244e-07 -4.090198e-07 1.177199e-06
2              5.396065e-02 -1.172507e-01 9.134942e-02 5.390671e-02 -1.172157e-01 9.111912e-02 5.393396e-05 -3.498463e-05 2.302989e-04
3              1.870700e-01 -4.226816e-01 3.124779e-01 1.869875e-01 -4.226494e-01 3.121371e-01 8.251729e-05 -3.215285e-05 3.408024e-04
4              3.099448e-01 -7.003391e-01 5.121971e-01 3.097743e-01 -7.002613e-01 5.114962e-01 1.705134e-04 -7.786400e-05 7.008411e-04
5              4.008297e-01 -8.969849e-01 6.740173e-01 4.005637e-01 -8.968700e-01 6.729298e-01 2.660051e-04 -1.149082e-04 1.087524e-03
6              4.782214e-01 -1.062099e+00 8.154937e-01 4.778237e-01 -1.061922e+00 8.138731e-01 3.976888e-04 -1.770421e-04 1.620554e-03
7              5.385944e-01 -1.191974e+00 9.312618e-01 5.380562e-01 -1.191734e+00 9.290743e-01 5.382667e-04 -2.407496e-04 2.187549e-03
8              5.841124e-01 -1.293980e+00 1.028048e+00 5.834287e-01 -1.293674e+00 1.025276e+00 6.836751e-04 -3.060048e-04 2.772276e-03
9              6.185240e-01 -1.378966e+00 1.113243e+00 6.176975e-01 -1.378599e+00 1.109894e+00 8.264262e-04 -3.675602e-04 3.349397e-03
10             6.334158e-01 -1.427596e+00 1.175900e+00 6.324561e-01 -1.427175e+00 1.172001e+00 9.596270e-04 -4.211284e-04 3.898852e-03
11             6.261662e-01 -1.429210e+00 1.215275e+00 6.250871e-01 -1.428747e+00 1.210861e+00 1.079100e-03 -4.631965e-04 4.413456e-03
12             6.052950e-01 -1.394858e+00 1.244795e+00 6.041116e-01 -1.394365e+00 1.239901e+00 1.183410e-03 -4.928178e-04 4.893218e-03
13             5.703012e-01 -1.325656e+00 1.260501e+00 5.690303e-01 -1.325142e+00 1.255173e+00 1.270881e-03 -5.139975e-04 5.328335e-03
14             5.292809e-01 -1.230072e+00 1.284952e+00 5.279362e-01 -1.229540e+00 1.279225e+00 1.344720e-03 -5.313856e-04 5.727510e-03
15             4.914419e-01 -1.122080e+00 1.331254e+00 4.900326e-01 -1.121528e+00 1.325148e+00 1.409353e-03 -5.518300e-04 6.106560e-03
16             4.615912e-01 -1.009521e+00 1.402872e+00 4.601206e-01 -1.008938e+00 1.396395e+00 1.470537e-03 -5.832715e-04 6.477732e-03
17             4.398629e-01 -8.934813e-01 1.493906e+00 4.383287e-01 -8.928477e-01 1.487056e+00 1.534241e-03 -6.335870e-04 6.849739e-03
18             4.225099e-01 -7.686716e-01 1.592613e+00 4.209102e-01 -7.679773e-01 1.585394e+00 1.599641e-03 -6.943599e-04 7.218647e-03
19             4.023245e-01 -6.228819e-01 1.686343e+00 4.006579e-01 -6.221110e-01 1.678762e+00 1.666612e-03 -7.708269e-04 7.581762e-03
20             3.694129e-01 -4.386718e-01 1.757990e+00 3.676803e-01 -4.378060e-01 1.750066e+00 1.732571e-03 -8.658000e-04 7.923506e-03
21             3.139657e-01 -1.974736e-01 1.790425e+00 3.121749e-01 -1.965021e-01 1.782205e+00 1.790891e-03 -9.715533e-04 8.220063e-03
22             2.301524e-01 1.115699e-01 1.775184e+00 2.283184e-01 1.126494e-01 1.766739e+00 1.833994e-03 -1.079540e-03 8.444814e-03
23             1.041854e-01 5.201723e-01 1.699819e+00 1.023333e-01 5.213535e-01 1.691251e+00 1.852113e-03 -1.181116e-03 8.568052e-03
24             -4.076468e-02 9.778560e-01 1.599224e+00 -4.260675e-02 9.791242e-01 1.590635e+00 1.842067e-03 -1.268164e-03 8.588754e-03
25             -1.587473e-01 1.367955e+00 1.514813e+00 -1.605565e-01 1.369287e+00 1.506276e+00 1.809186e-03 -1.332212e-03 8.536400e-03
26             -2.798250e-01 1.768061e+00 1.419013e+00 -2.815745e-01 1.769417e+00 1.410607e+00 1.749541e-03 -1.355802e-03 8.406178e-03
27             -4.024562e-01 2.174280e+00 1.316194e+00 -4.041304e-01 2.175661e+00 1.307976e+00 1.674221e-03 -1.380902e-03 8.218175e-03
28             -5.184115e-01 2.571131e+00 1.223865e+00 -5.199919e-01 2.572483e+00 1.215864e+00 1.580331e-03 -1.352437e-03 8.001069e-03
29             -6.190013e-01 2.957031e+00 1.187557e+00 -6.204715e-01 2.958262e+00 1.179757e+00 1.470155e-03 -1.230942e-03 7.799965e-03
30             -6.811677e-01 3.222207e+00 1.149613e+00 -6.825181e-01 3.223227e+00 1.141983e+00 1.350374e-03 -1.020331e-03 7.629843e-03
31             -7.054939e-01 3.384795e+00 1.142355e+00 -7.067157e-01 3.385544e+00 1.134894e+00 1.221877e-03 -7.481718e-04 7.461378e-03
32             -6.912323e-01 3.436660e+00 1.164349e+00 -6.923306e-01 3.437083e+00 1.157022e+00 1.098331e-03 -4.228363e-04 7.327002e-03
33             -6.409215e-01 3.380032e+00 1.212947e+00 -6.419106e-01 3.380098e+00 1.205710e+00 9.890937e-04 -6.611117e-05 7.237241e-03
34             -5.619038e-01 3.229886e+00 1.280525e+00 -5.628038e-01 3.229583e+00 1.273324e+00 9.000140e-04 3.031137e-04 7.200390e-03
35             -4.658430e-01 3.014595e+00 1.356808e+00 -4.666762e-01 3.013925e+00 1.349595e+00 8.331932e-04 6.700770e-04 7.213531e-03
36             -3.642792e-01 2.768519e+00 1.437591e+00 -3.650683e-01 2.767498e+00 1.430315e+00 7.891327e-04 1.020331e-03 7.275950e-03
37             -2.681394e-01 2.524815e+00 1.518657e+00 -2.689051e-01 2.523469e+00 1.511278e+00 7.657313e-04 1.346693e-03 7.378686e-03
38             -1.848260e-01 2.307629e+00 1.594924e+00 -1.855860e-01 2.305986e+00 1.587411e+00 7.599576e-04 1.643012e-03 7.513388e-03
39             -1.188968e-01 2.134868e+00 1.662607e+00 -1.196649e-01 2.132966e+00 1.654937e+00 7.681650e-04 1.902525e-03 7.669292e-03
40             -7.202027e-02 2.017887e+00 1.720585e+00 -7.280774e-02 2.015769e+00 1.712750e+00 7.874710e-04 2.118162e-03 7.834782e-03
41             -4.335995e-02 1.961070e+00 1.770534e+00 -4.417525e-02 1.958778e+00 1.762534e+00 8.152964e-04 2.291314e-03 8.000045e-03
42             -3.063756e-02 1.959799e+00 1.809492e+00 -3.148662e-02 1.957376e+00 1.801335e+00 8.490543e-04 2.422659e-03 8.157221e-03
43             -3.114162e-02 2.007730e+00 1.835865e+00 -3.202946e-02 2.005218e+00 1.827566e+00 8.878390e-04 2.511094e-03 8.298111e-03
44             -4.237847e-02 2.097827e+00 1.849409e+00 -4.330966e-02 2.095266e+00 1.840992e+00 9.311865e-04 2.560181e-03 8.416661e-03
45             -6.113504e-02 2.223206e+00 1.855930e+00 -6.211572e-02 2.220639e+00 1.847421e+00 9.806867e-04 2.567441e-03 8.508755e-03
46             -8.330942e-02 2.373587e+00 1.862464e+00 -8.434665e-02 2.371053e+00 1.853893e+00 1.037230e-03 2.533274e-03 8.571088e-03
47             -1.081502e-01 2.539500e+00 1.864936e+00 -1.092505e-01 2.537038e+00 1.856334e+00 1.100254e-03 2.461802e-03 8.601446e-03
48             -1.320372e-01 2.704587e+00 1.864494e+00 -1.332067e-01 2.702221e+00 1.855888e+00 1.169576e-03 2.365909e-03 8.606417e-03
49             -1.536511e-01 2.855651e+00 1.858624e+00 -1.548958e-01 2.853398e+00 1.850032e+00 1.244707e-03 2.253106e-03 8.592045e-03
50             -1.707150e-01 2.982362e+00 1.849713e+00 -1.720392e-01 2.980236e+00 1.841153e+00 1.324164e-03 2.125707e-03 8.560046e-03
51             -1.806417e-01 3.076868e+00 1.843987e+00 -1.820502e-01 3.074881e+00 1.835466e+00 1.408443e-03 1.986492e-03 8.520425e-03
52             -1.835350e-01 3.138275e+00 1.841988e+00 -1.850308e-01 3.136430e+00 1.833513e+00 1.495788e-03 1.844296e-03 8.474889e-03
53             -1.788315e-01 3.163913e+00 1.841617e+00 -1.804161e-01 3.162206e+00 1.833185e+00 1.584686e-03 1.706640e-03 8.431777e-03
54             -1.679482e-01 3.156886e+00 1.839939e+00 -1.696223e-01 3.155306e+00 1.831542e+00 1.674054e-03 1.580478e-03 8.397428e-03
55             -1.532755e-01 3.125501e+00 1.838618e+00 -1.550370e-01 3.124030e+00 1.830243e+00 1.761594e-03 1.470865e-03 8.374974e-03
56             -1.354845e-01 3.073891e+00 1.836226e+00 -1.373305e-01 3.072510e+00 1.827863e+00 1.845972e-03 1.381099e-03 8.363596e-03
57             -1.190251e-01 3.018837e+00 1.835207e+00 -1.209525e-01 3.017521e+00 1.826836e+00 1.927362e-03 1.316685e-03 8.370461e-03
58             -1.070653e-01 2.969432e+00 1.830097e+00 -1.090666e-01 2.968151e+00 1.821714e+00 2.001288e-03 1.281517e-03 8.383317e-03
59             -9.998239e-02 2.933328e+00 1.822560e+00 -1.020513e-01 2.932052e+00 1.814161e+00 2.068877e-03 1.276091e-03 8.398611e-03
60             -1.002186e-01 2.918201e+00 1.808277e+00 -1.023465e-01 2.916905e+00 1.799872e+00 2.127875e-03 1.295260e-03 8.404554e-03
61             -1.077334e-01 2.926990e+00 1.786292e+00 -1.099131e-01 2.925651e+00 1.777892e+00 2.179736e-03 1.338623e-03 8.400071e-03
62             -1.217081e-01 2.963197e+00 1.762139e+00 -1.239308e-01 2.961792e+00 1.753760e+00 2.222660e-03 1.405297e-03 8.378782e-03
63             -1.421098e-01 3.027523e+00 1.737539e+00 -1.443673e-01 3.026031e+00 1.729202e+00 2.257519e-03 1.491945e-03 8.336913e-03
64             -1.685746e-01 3.121982e+00 1.717769e+00 -1.708572e-01 3.120378e+00 1.709490e+00 2.282600e-03 1.604115e-03 8.278070e-03
65             -1.976631e-01 3.241076e+00 1.707287e+00 -1.999613e-01 3.239334e+00 1.699081e+00 2.298213e-03 1.741552e-03 8.205925e-03
66             -2.266605e-01 3.380077e+00 1.708989e+00 -2.289668e-01 3.378164e+00 1.700857e+00 2.306290e-03 1.913068e-03 8.132356e-03
67             -2.545038e-01 3.533763e+00 1.717053e+00 -2.568080e-01 3.531632e+00 1.708992e+00 2.304189e-03 2.131076e-03 8.061117e-03
68             -2.811157e-01 3.701240e+00 1.728889e+00 -2.834123e-01 3.698846e+00 1.720884e+00 2.296576e-03 2.394168e-03 8.005246e-03
69             -3.069752e-01 3.882628e+00 1.740206e+00 -3.092613e-01 3.879926e+00 1.732235e+00 2.286086e-03 2.701987e-03 7.971712e-03
70             -3.337298e-01 4.080650e+00 1.747272e+00 -3.360023e-01 4.077597e+00 1.739308e+00 2.272519e-03 3.052906e-03 7.963318e-03
