# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.000000e+00	1.334770e-03	1	1.000000e+00	2.893650e-02	1	1.000000e+00	5.048040e-02	1	false	smoothSolver	1.000000e+00	1.805450e-02	1	true	smoothSolver	1.720730e-01	2.541990e-03	1	true	GAMG	1.000000e+00	3.271160e-02	3	true
2             	smoothSolver	3.746270e-01	2.039800e-02	1	1.269720e-01	3.877050e-03	1	1.419080e-01	6.246580e-03	1	false	smoothSolver	4.768270e-01	5.944520e-03	1	true	smoothSolver	1.149390e-01	1.096500e-03	1	true	GAMG	9.342890e-01	3.678080e-02	3	true
3             	smoothSolver	2.277090e-01	1.103870e-02	1	1.477940e-01	6.586130e-03	1	1.667230e-01	9.005760e-03	1	false	smoothSolver	3.847350e-01	4.345880e-03	1	true	smoothSolver	8.298820e-02	1.240600e-03	1	true	GAMG	2.968010e-01	2.095690e-02	2	true
4             	smoothSolver	1.664930e-01	9.197350e-03	1	1.526030e-01	7.794900e-03	1	1.657340e-01	9.969540e-03	1	false	smoothSolver	3.406370e-01	4.498860e-03	1	true	smoothSolver	7.350130e-02	1.372670e-03	1	true	GAMG	1.843090e-01	8.475000e-03	2	true
5             	smoothSolver	1.314650e-01	7.842500e-03	1	1.341660e-01	6.910330e-03	1	1.448800e-01	8.812980e-03	1	false	smoothSolver	3.196660e-01	5.197240e-03	1	true	smoothSolver	7.450480e-02	1.681060e-03	1	true	GAMG	1.997060e-01	5.980220e-03	2	true
6             	smoothSolver	1.027960e-01	6.260280e-03	1	1.086410e-01	5.122040e-03	1	1.160850e-01	6.534130e-03	1	false	smoothSolver	3.050320e-01	6.217040e-03	1	true	smoothSolver	7.864090e-02	2.099120e-03	1	true	GAMG	2.368070e-01	9.505110e-03	2	true
7             	smoothSolver	8.059430e-02	4.668870e-03	1	8.467060e-02	3.468690e-03	1	8.974660e-02	4.406830e-03	1	false	smoothSolver	2.717870e-01	6.782290e-03	1	true	smoothSolver	8.192170e-02	2.531980e-03	1	true	GAMG	2.750480e-01	1.518260e-02	2	true
8             	smoothSolver	5.935510e-02	3.281870e-03	1	6.539480e-02	2.330680e-03	1	6.923570e-02	2.965170e-03	1	false	smoothSolver	2.297420e-01	6.670750e-03	1	true	smoothSolver	8.011430e-02	2.694230e-03	1	true	GAMG	2.978260e-01	1.762040e-02	2	true
9             	smoothSolver	4.404330e-02	2.375710e-03	1	6.754110e-02	2.119400e-03	1	6.945390e-02	2.692890e-03	1	false	smoothSolver	2.060200e-01	6.575820e-03	1	true	smoothSolver	7.931270e-02	2.821600e-03	1	true	GAMG	3.169700e-01	1.650340e-02	2	true
10            	smoothSolver	3.644840e-02	1.874880e-03	1	6.947640e-02	2.632350e-03	1	7.313340e-02	3.216160e-03	1	false	smoothSolver	1.711180e-01	5.992650e-03	1	true	smoothSolver	7.719040e-02	2.924620e-03	1	true	GAMG	3.205400e-01	1.347950e-02	2	true
