# Region type : patch outlet
# Faces       : 3600
# Area        : 1.440000e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(T)
0.1           	2.929997e+02
0.2           	2.929999e+02
0.3           	2.930004e+02
0.4           	2.930059e+02
0.5           	2.930134e+02
0.6           	2.930221e+02
0.7           	2.930314e+02
0.8           	2.930411e+02
0.9           	2.930493e+02
1             	2.930581e+02
1.1           	2.930664e+02
1.2           	2.930742e+02
1.3           	2.930813e+02
1.4           	2.930883e+02
1.5           	2.930948e+02
1.6           	2.931013e+02
1.7           	2.931071e+02
1.8           	2.931129e+02
1.9           	2.931183e+02
2             	2.931235e+02
2.1           	2.931286e+02
2.2           	2.931333e+02
2.3           	2.931378e+02
2.4           	2.931419e+02
2.5           	2.931458e+02
2.6           	2.931497e+02
2.7           	2.931534e+02
2.8           	2.931568e+02
2.9           	2.931599e+02
3             	2.931630e+02
3.1           	2.931661e+02
3.2           	2.931689e+02
3.3           	2.931715e+02
3.4           	2.931738e+02
3.5           	2.931763e+02
3.6           	2.931786e+02
3.7           	2.931807e+02
3.8           	2.931827e+02
3.9           	2.931844e+02
4             	2.931865e+02
4.1           	2.931879e+02
4.2           	2.931893e+02
4.3           	2.931914e+02
4.4           	2.931909e+02
4.5           	2.931944e+02
4.6           	2.931932e+02
4.7           	2.931950e+02
4.8           	2.931972e+02
4.9           	2.931945e+02
5             	2.931982e+02
