# Region type : patch outlet
# Faces       : 3600
# Area        : 1.440000e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(T)
0             	2.930000e+02
0.1           	2.929996e+02
0.2           	2.929998e+02
0.3           	2.930005e+02
0.4           	2.930059e+02
0.5           	2.930134e+02
0.6           	2.930221e+02
0.7           	2.930314e+02
0.8           	2.930411e+02
0.9           	2.930494e+02
1             	2.930582e+02
1.1           	2.930664e+02
1.2           	2.930742e+02
1.3           	2.930813e+02
1.4           	2.930884e+02
1.5           	2.930949e+02
1.6           	2.931013e+02
1.7           	2.931072e+02
1.8           	2.931130e+02
1.9           	2.931184e+02
2             	2.931235e+02
2.1           	2.931286e+02
2.2           	2.931333e+02
2.3           	2.931378e+02
2.4           	2.931419e+02
2.5           	2.931459e+02
2.6           	2.931498e+02
2.7           	2.931534e+02
2.8           	2.931569e+02
2.9           	2.931600e+02
3             	2.931630e+02
3.1           	2.931661e+02
3.2           	2.931689e+02
3.3           	2.931715e+02
3.4           	2.931739e+02
3.5           	2.931763e+02
3.6           	2.931787e+02
3.7           	2.931807e+02
3.8           	2.931827e+02
3.9           	2.931844e+02
4             	2.931866e+02
4.1           	2.931880e+02
4.2           	2.931893e+02
4.3           	2.931914e+02
4.4           	2.931910e+02
4.5           	2.931944e+02
4.6           	2.931933e+02
4.7           	2.931951e+02
4.8           	2.931972e+02
4.9           	2.931945e+02
5             	2.931983e+02
