# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
0.1           	T             	2.929868e+02	(1.441270e-01 6.100000e-02 1.100000e-02)	3	3.409037e+02	(8.700000e-02 5.000000e-02 1.000000e-03)	12
0.2           	T             	2.929920e+02	(2.383530e-01 6.100000e-02 1.100000e-02)	2	3.446170e+02	(8.700000e-02 5.000000e-02 1.000000e-03)	12
0.3           	T             	2.929987e+02	(2.294350e-01 9.829275e-02 1.000000e-03)	2	3.461938e+02	(8.700000e-02 5.000000e-02 1.000000e-03)	12
0.4           	T             	2.929993e+02	(2.575480e-01 1.283900e-02 1.000000e-03)	4	3.471207e+02	(8.700000e-02 5.000000e-02 1.000000e-03)	12
0.5           	T             	2.929997e+02	(2.900910e-01 9.463700e-03 1.000000e-03)	4	3.477495e+02	(8.700000e-02 5.000000e-02 1.000000e-03)	12
0.6           	T             	2.929998e+02	(1.205020e-01 8.338400e-02 3.339660e-02)	3	3.482140e+02	(8.700000e-02 5.000000e-02 1.000000e-03)	12
0.7           	T             	2.929998e+02	(1.227985e-01 3.661600e-02 3.464530e-02)	12	3.485787e+02	(8.700000e-02 5.000000e-02 1.000000e-03)	12
0.8           	T             	2.929998e+02	(1.239755e-01 3.488990e-02 3.339660e-02)	5	3.488786e+02	(8.700000e-02 5.000000e-02 1.000000e-03)	12
0.9           	T             	2.929998e+02	(1.251715e-01 8.695600e-02 3.218830e-02)	3	3.491347e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
1             	T             	2.929998e+02	(1.263870e-01 8.511010e-02 3.464530e-02)	3	3.493601e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
1.1           	T             	2.929998e+02	(1.263870e-01 3.488990e-02 3.464530e-02)	5	3.495627e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
1.2           	T             	2.929998e+02	(1.276225e-01 3.304400e-02 3.339660e-02)	5	3.497480e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
1.3           	T             	2.929998e+02	(1.276225e-01 8.695600e-02 3.339660e-02)	3	3.499193e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
1.4           	T             	2.929998e+02	(1.276225e-01 3.304400e-02 3.339660e-02)	5	3.500792e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
1.5           	T             	2.929998e+02	(1.288780e-01 3.488990e-02 3.593565e-02)	5	3.502291e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
1.6           	T             	2.929998e+02	(1.288780e-01 3.488990e-02 3.593565e-02)	5	3.503703e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
1.7           	T             	2.929998e+02	(1.301545e-01 8.695600e-02 3.464530e-02)	3	3.505036e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
1.8           	T             	2.929998e+02	(1.301545e-01 8.695600e-02 3.464530e-02)	3	3.506296e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
1.9           	T             	2.929998e+02	(1.301545e-01 3.304400e-02 3.464530e-02)	5	3.507490e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
2             	T             	2.929998e+02	(1.301545e-01 3.304400e-02 3.464530e-02)	5	3.508621e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
2.1           	T             	2.929998e+02	(1.301545e-01 3.304400e-02 3.464530e-02)	5	3.509694e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
2.2           	T             	2.929998e+02	(1.301545e-01 8.695600e-02 3.464530e-02)	3	3.510711e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
2.3           	T             	2.929998e+02	(1.301545e-01 8.695600e-02 3.464530e-02)	3	3.511676e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
2.4           	T             	2.929998e+02	(1.327705e-01 3.107010e-02 3.339660e-02)	5	3.512592e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
2.5           	T             	2.929998e+02	(1.341105e-01 2.170725e-02 1.900000e-02)	5	3.513461e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
2.6           	T             	2.929998e+02	(1.341105e-01 9.829275e-02 1.900000e-02)	3	3.514285e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
2.7           	T             	2.929998e+02	(1.341105e-01 9.829275e-02 1.900000e-02)	3	3.515068e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
2.8           	T             	2.929998e+02	(1.341105e-01 2.170725e-02 1.900000e-02)	5	3.515811e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
2.9           	T             	2.929998e+02	(1.341105e-01 2.170725e-02 1.900000e-02)	5	3.516516e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
3             	T             	2.929998e+02	(1.341105e-01 9.829275e-02 1.900000e-02)	3	3.517185e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
3.1           	T             	2.929998e+02	(1.341105e-01 9.829275e-02 1.900000e-02)	3	3.517820e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
3.2           	T             	2.929998e+02	(1.341105e-01 9.829275e-02 1.900000e-02)	3	3.518423e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
3.3           	T             	2.929998e+02	(1.354725e-01 2.170725e-02 1.900000e-02)	5	3.518995e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
3.4           	T             	2.929998e+02	(1.341105e-01 2.170725e-02 1.900000e-02)	5	3.519538e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
3.5           	T             	2.929998e+02	(1.354725e-01 9.829275e-02 1.900000e-02)	3	3.520054e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
3.6           	T             	2.929998e+02	(1.341105e-01 9.829275e-02 1.900000e-02)	3	3.520543e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
3.7           	T             	2.929998e+02	(1.354725e-01 2.170725e-02 1.900000e-02)	5	3.521007e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
3.8           	T             	2.929998e+02	(1.354725e-01 2.170725e-02 1.900000e-02)	5	3.521448e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
3.9           	T             	2.929998e+02	(1.354725e-01 2.170725e-02 1.900000e-02)	5	3.521866e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
4             	T             	2.929998e+02	(1.354725e-01 9.829275e-02 1.900000e-02)	3	3.522263e+02	(9.100000e-02 7.000000e-02 1.000000e-03)	13
4.1           	T             	2.929998e+02	(1.354725e-01 9.829275e-02 1.900000e-02)	3	3.522640e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
4.2           	T             	2.929998e+02	(1.368570e-01 2.170725e-02 1.900000e-02)	5	3.522999e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
4.3           	T             	2.929998e+02	(1.354725e-01 2.170725e-02 1.900000e-02)	5	3.523339e+02	(9.100000e-02 5.000000e-02 1.000000e-03)	12
4.4           	T             	2.929998e+02	(1.341105e-01 3.304400e-02 3.593565e-02)	5	3.523663e+02	(1.000000e-01 6.300000e-02 1.000000e-03)	12
4.5           	T             	2.929998e+02	(1.368570e-01 9.829275e-02 1.900000e-02)	3	3.523968e+02	(9.100000e-02 7.000000e-02 1.000000e-03)	13
4.6           	T             	2.929998e+02	(1.327705e-01 8.695600e-02 3.593565e-02)	3	3.524265e+02	(1.000000e-01 5.700000e-02 1.000000e-03)	12
4.7           	T             	2.929998e+02	(1.382645e-01 2.170725e-02 1.900000e-02)	5	3.524540e+02	(1.000000e-01 5.900000e-02 1.000000e-03)	12
4.8           	T             	2.929998e+02	(1.368570e-01 2.170725e-02 2.040065e-02)	5	3.524807e+02	(1.000000e-01 6.300000e-02 1.000000e-03)	12
