# Field minima and maxima
# Time        	field         	min           	location(min) 	max           	location(max) 
0             	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)
0.1           	T             	2.929870e+02	(1.587995e-01 5.300000e-02 9.000000e-03)	3.409040e+02	(8.700000e-02 7.000000e-02 1.000000e-03)
0.2           	T             	2.929920e+02	(2.265580e-01 5.900000e-02 9.000000e-03)	3.446170e+02	(8.700000e-02 5.000000e-02 1.000000e-03)
0.3           	T             	2.929990e+02	(2.237270e-01 9.571160e-02 1.000000e-03)	3.461940e+02	(8.700000e-02 5.000000e-02 1.000000e-03)
0.4           	T             	2.929990e+02	(2.542175e-01 1.040045e-01 1.000000e-03)	3.471210e+02	(8.700000e-02 5.000000e-02 1.000000e-03)
0.5           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.477490e+02	(8.700000e-02 5.000000e-02 1.000000e-03)
0.6           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.482140e+02	(8.700000e-02 5.000000e-02 1.000000e-03)
0.7           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.485790e+02	(8.700000e-02 5.000000e-02 1.000000e-03)
0.8           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.488790e+02	(8.700000e-02 5.000000e-02 1.000000e-03)
0.9           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.491350e+02	(9.100000e-02 7.000000e-02 1.000000e-03)
1             	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.493600e+02	(8.700000e-02 7.000000e-02 1.000000e-03)
1.1           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.495630e+02	(9.100000e-02 7.000000e-02 1.000000e-03)
1.2           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.497480e+02	(8.900000e-02 7.000000e-02 1.000000e-03)
1.3           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.499190e+02	(8.700000e-02 7.000000e-02 1.000000e-03)
1.4           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.500790e+02	(8.900000e-02 7.000000e-02 1.000000e-03)
1.5           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.502290e+02	(8.900000e-02 7.000000e-02 1.000000e-03)
1.6           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.503700e+02	(8.900000e-02 7.000000e-02 1.000000e-03)
1.7           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.505040e+02	(9.100000e-02 5.000000e-02 1.000000e-03)
1.8           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.506300e+02	(9.100000e-02 7.000000e-02 1.000000e-03)
1.9           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.507490e+02	(8.900000e-02 7.000000e-02 1.000000e-03)
2             	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.508620e+02	(8.900000e-02 7.000000e-02 1.000000e-03)
2.1           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.509690e+02	(8.900000e-02 7.000000e-02 1.000000e-03)
2.2           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.510710e+02	(8.900000e-02 7.000000e-02 1.000000e-03)
2.3           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.511680e+02	(9.100000e-02 7.000000e-02 1.000000e-03)
2.4           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.512590e+02	(8.900000e-02 7.000000e-02 1.000000e-03)
2.5           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.513460e+02	(8.900000e-02 7.000000e-02 1.000000e-03)
2.6           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.514290e+02	(9.100000e-02 5.000000e-02 1.000000e-03)
2.7           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.515070e+02	(9.100000e-02 7.000000e-02 1.000000e-03)
2.8           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.515810e+02	(8.900000e-02 7.000000e-02 1.000000e-03)
2.9           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.516520e+02	(9.100000e-02 7.000000e-02 1.000000e-03)
3             	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.517190e+02	(9.100000e-02 5.000000e-02 1.000000e-03)
3.1           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.517820e+02	(8.900000e-02 7.000000e-02 1.000000e-03)
3.2           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.518420e+02	(8.900000e-02 7.000000e-02 1.000000e-03)
3.3           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.519000e+02	(9.100000e-02 5.000000e-02 1.000000e-03)
3.4           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.519540e+02	(9.100000e-02 7.000000e-02 1.000000e-03)
3.5           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.520050e+02	(8.900000e-02 7.000000e-02 1.000000e-03)
3.6           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.520540e+02	(8.900000e-02 7.000000e-02 1.000000e-03)
3.7           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.521010e+02	(9.100000e-02 7.000000e-02 1.000000e-03)
3.8           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.521450e+02	(9.100000e-02 7.000000e-02 1.000000e-03)
3.9           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.521870e+02	(9.100000e-02 7.000000e-02 1.000000e-03)
4             	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.522260e+02	(8.900000e-02 7.000000e-02 1.000000e-03)
4.1           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.522640e+02	(8.900000e-02 7.000000e-02 1.000000e-03)
4.2           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.523000e+02	(9.100000e-02 7.000000e-02 1.000000e-03)
4.3           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.523340e+02	(9.100000e-02 7.000000e-02 1.000000e-03)
4.4           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.523660e+02	(8.900000e-02 7.000000e-02 1.000000e-03)
4.5           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.523970e+02	(9.100000e-02 7.000000e-02 1.000000e-03)
4.6           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.524260e+02	(9.100000e-02 7.000000e-02 1.000000e-03)
4.7           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.524540e+02	(1.000000e-01 5.500000e-02 1.000000e-03)
4.8           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.524810e+02	(1.000000e-01 6.100000e-02 1.000000e-03)
4.9           	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.525060e+02	(1.000000e-01 5.900000e-02 1.000000e-03)
5             	T             	2.930000e+02	(2.001160e-03 1.994560e-03 1.000000e-03)	3.525290e+02	(1.000000e-01 5.500000e-02 1.000000e-03)
