# Wall heat-flux
# Time        	patch         	min           	max           	integral      
0.000120048   	fluid_to_solid	-6.970837e-05	3.693187e-07	-2.549309e-08
0.000254295   	fluid_to_solid	-6.459188e-01	1.905578e+01	3.035616e-03
0.000393995   	fluid_to_solid	-5.209926e+00	4.398251e+01	6.374344e-03
0.000542218   	fluid_to_solid	-5.908871e+00	6.540362e+01	9.740327e-03
0.00069594    	fluid_to_solid	-5.774659e+00	8.686752e+01	1.328229e-02
0.000853565   	fluid_to_solid	-5.687432e+00	1.088051e+02	1.694069e-02
0.00101504    	fluid_to_solid	-5.617106e+00	1.309049e+02	2.064982e-02
0.00118002    	fluid_to_solid	-5.540687e+00	1.530855e+02	2.437934e-02
0.00134808    	fluid_to_solid	-5.458864e+00	1.752789e+02	2.811354e-02
0.00151846    	fluid_to_solid	-5.371989e+00	1.974294e+02	3.185066e-02
0.00169093    	fluid_to_solid	-5.279821e+00	2.194282e+02	3.557908e-02
0.00186524    	fluid_to_solid	-5.185307e+00	2.416682e+02	3.929272e-02
0.00204142    	fluid_to_solid	-5.091735e+00	2.637724e+02	4.297992e-02
0.00221921    	fluid_to_solid	-5.011130e+00	2.857618e+02	4.663637e-02
0.00239862    	fluid_to_solid	-4.947270e+00	3.075505e+02	5.025167e-02
0.0025797     	fluid_to_solid	-4.887192e+00	3.291114e+02	5.382464e-02
0.00276248    	fluid_to_solid	-4.830541e+00	3.504493e+02	5.735618e-02
0.00294664    	fluid_to_solid	-4.777546e+00	3.715757e+02	6.084958e-02
0.00313115    	fluid_to_solid	-4.728398e+00	3.925221e+02	6.430416e-02
0.00331566    	fluid_to_solid	-4.682330e+00	4.131736e+02	6.770253e-02
0.00350018    	fluid_to_solid	-4.637917e+00	4.334678e+02	7.104118e-02
0.00368504    	fluid_to_solid	-4.594240e+00	4.534086e+02	7.432228e-02
0.00386991    	fluid_to_solid	-4.548756e+00	4.730543e+02	7.755803e-02
0.00405477    	fluid_to_solid	-4.501350e+00	4.923696e+02	8.074349e-02
0.00423964    	fluid_to_solid	-4.450343e+00	5.113631e+02	8.388128e-02
0.0044245     	fluid_to_solid	-4.396723e+00	5.300432e+02	8.697303e-02
0.00460973    	fluid_to_solid	-4.340512e+00	5.484103e+02	9.001816e-02
0.00479495    	fluid_to_solid	-4.282420e+00	5.665191e+02	9.302587e-02
0.00498018    	fluid_to_solid	-4.223055e+00	5.843325e+02	9.598847e-02
0.00516576    	fluid_to_solid	-4.163084e+00	6.018487e+02	9.890339e-02
0.00535135    	fluid_to_solid	-4.103110e+00	6.191201e+02	1.017785e-01
0.00553693    	fluid_to_solid	-4.044580e+00	6.361099e+02	1.046052e-01
0.00572288    	fluid_to_solid	-3.988069e+00	6.528160e+02	1.073811e-01
0.00590883    	fluid_to_solid	-3.934367e+00	6.692904e+02	1.101152e-01
0.00609515    	fluid_to_solid	-3.883570e+00	6.854902e+02	1.127991e-01
0.00628147    	fluid_to_solid	-3.835437e+00	7.014676e+02	1.154431e-01
0.00646816    	fluid_to_solid	-3.789546e+00	7.171802e+02	1.180395e-01
0.00665485    	fluid_to_solid	-3.745434e+00	7.326801e+02	1.205991e-01
0.00684192    	fluid_to_solid	-3.702859e+00	7.479257e+02	1.231152e-01
0.00702898    	fluid_to_solid	-3.661164e+00	7.629690e+02	1.255993e-01
0.00721642    	fluid_to_solid	-3.619364e+00	7.777685e+02	1.280446e-01
0.00740386    	fluid_to_solid	-3.576953e+00	7.923753e+02	1.304624e-01
0.00759131    	fluid_to_solid	-3.545053e+00	8.067561e+02	1.328474e-01
0.00777913    	fluid_to_solid	-3.513299e+00	8.209075e+02	1.351990e-01
0.00796695    	fluid_to_solid	-3.480817e+00	8.348784e+02	1.375273e-01
0.00815477    	fluid_to_solid	-3.447378e+00	8.486354e+02	1.398258e-01
0.0083426     	fluid_to_solid	-3.413347e+00	8.621818e+02	1.420950e-01
0.0085308     	fluid_to_solid	-3.379126e+00	8.755123e+02	1.443322e-01
0.00871901    	fluid_to_solid	-3.345221e+00	8.886740e+02	1.465464e-01
0.00890722    	fluid_to_solid	-3.312027e+00	9.016332e+02	1.487299e-01
0.00909582    	fluid_to_solid	-3.279978e+00	9.143842e+02	1.508798e-01
0.00928442    	fluid_to_solid	-3.249775e+00	9.269732e+02	1.530050e-01
0.00947301    	fluid_to_solid	-3.221520e+00	9.393677e+02	1.550986e-01
0.00966201    	fluid_to_solid	-3.195308e+00	9.515620e+02	1.571580e-01
0.009851      	fluid_to_solid	-3.171181e+00	9.636023e+02	1.591932e-01
0.01004       	fluid_to_solid	-3.149005e+00	9.754574e+02	1.611982e-01
0.0102294     	fluid_to_solid	-3.128544e+00	9.871218e+02	1.631712e-01
0.0104188     	fluid_to_solid	-3.109392e+00	9.986415e+02	1.651231e-01
0.0106082     	fluid_to_solid	-3.090986e+00	1.009986e+03	1.670483e-01
0.0107975     	fluid_to_solid	-3.072977e+00	1.021159e+03	1.689482e-01
0.0109873     	fluid_to_solid	-3.055011e+00	1.032156e+03	1.708210e-01
0.0111771     	fluid_to_solid	-3.036712e+00	1.043020e+03	1.726768e-01
0.0113669     	fluid_to_solid	-3.017897e+00	1.053723e+03	1.745097e-01
0.0115567     	fluid_to_solid	-2.998540e+00	1.064266e+03	1.763199e-01
0.0117469     	fluid_to_solid	-2.978585e+00	1.074643e+03	1.781049e-01
0.0119371     	fluid_to_solid	-2.958202e+00	1.084902e+03	1.798738e-01
0.0121273     	fluid_to_solid	-2.937667e+00	1.095016e+03	1.816199e-01
0.0123175     	fluid_to_solid	-2.917214e+00	1.104986e+03	1.833427e-01
0.0125077     	fluid_to_solid	-2.897131e+00	1.114814e+03	1.850420e-01
0.0126983     	fluid_to_solid	-2.877631e+00	1.124492e+03	1.867148e-01
0.012889      	fluid_to_solid	-2.858946e+00	1.134061e+03	1.883701e-01
0.0130796     	fluid_to_solid	-2.841198e+00	1.143491e+03	1.900015e-01
0.0132702     	fluid_to_solid	-2.824509e+00	1.152785e+03	1.916091e-01
0.0134608     	fluid_to_solid	-2.808812e+00	1.161946e+03	1.931933e-01
0.0136518     	fluid_to_solid	-2.794032e+00	1.170966e+03	1.947515e-01
0.0138429     	fluid_to_solid	-2.779965e+00	1.179886e+03	1.962939e-01
0.0140339     	fluid_to_solid	-2.766359e+00	1.188680e+03	1.978147e-01
0.0142249     	fluid_to_solid	-2.753067e+00	1.197351e+03	1.993147e-01
0.014416      	fluid_to_solid	-2.741009e+00	1.205902e+03	2.007947e-01
0.014607      	fluid_to_solid	-2.733166e+00	1.214334e+03	2.022554e-01
0.0147985     	fluid_to_solid	-2.725071e+00	1.222641e+03	2.036944e-01
0.0149899     	fluid_to_solid	-2.716681e+00	1.230862e+03	2.051216e-01
0.0151814     	fluid_to_solid	-2.707958e+00	1.238970e+03	2.065313e-01
0.0153729     	fluid_to_solid	-2.698906e+00	1.246967e+03	2.079237e-01
0.0155643     	fluid_to_solid	-2.689636e+00	1.254854e+03	2.092989e-01
0.0157558     	fluid_to_solid	-2.680277e+00	1.262632e+03	2.106569e-01
0.0159473     	fluid_to_solid	-2.670947e+00	1.270304e+03	2.119976e-01
0.0161392     	fluid_to_solid	-2.661784e+00	1.277860e+03	2.133178e-01
0.0163311     	fluid_to_solid	-2.652962e+00	1.285338e+03	2.146267e-01
0.016523      	fluid_to_solid	-2.644574e+00	1.292713e+03	2.159181e-01
0.0167149     	fluid_to_solid	-2.636654e+00	1.299987e+03	2.171922e-01
0.0169068     	fluid_to_solid	-2.629287e+00	1.307160e+03	2.184492e-01
0.0170987     	fluid_to_solid	-2.622402e+00	1.314235e+03	2.196894e-01
0.017291      	fluid_to_solid	-2.615935e+00	1.321204e+03	2.209099e-01
0.0174834     	fluid_to_solid	-2.609800e+00	1.328104e+03	2.221204e-01
0.0176757     	fluid_to_solid	-2.603885e+00	1.334910e+03	2.233151e-01
0.0178681     	fluid_to_solid	-2.598040e+00	1.341625e+03	2.244947e-01
0.0180604     	fluid_to_solid	-2.592143e+00	1.348249e+03	2.256596e-01
0.0182527     	fluid_to_solid	-2.586129e+00	1.354784e+03	2.268102e-01
0.0184451     	fluid_to_solid	-2.579878e+00	1.361232e+03	2.279469e-01
0.0186374     	fluid_to_solid	-2.573363e+00	1.367593e+03	2.290698e-01
0.0188298     	fluid_to_solid	-2.566600e+00	1.373870e+03	2.301793e-01
0.0190226     	fluid_to_solid	-2.559577e+00	1.380054e+03	2.312720e-01
0.0192154     	fluid_to_solid	-2.552356e+00	1.386179e+03	2.323574e-01
0.0194082     	fluid_to_solid	-2.545035e+00	1.392223e+03	2.334293e-01
0.019601      	fluid_to_solid	-2.537692e+00	1.398186e+03	2.344878e-01
0.0197938     	fluid_to_solid	-2.530387e+00	1.404069e+03	2.355329e-01
0.0199866     	fluid_to_solid	-2.523201e+00	1.409874e+03	2.365646e-01
0.0201794     	fluid_to_solid	-2.516170e+00	1.415600e+03	2.375831e-01
0.0203722     	fluid_to_solid	-2.509327e+00	1.421249e+03	2.385883e-01
0.020565      	fluid_to_solid	-2.502678e+00	1.426823e+03	2.395804e-01
0.0207583     	fluid_to_solid	-2.496174e+00	1.432313e+03	2.405564e-01
0.0209516     	fluid_to_solid	-2.489784e+00	1.437753e+03	2.415256e-01
0.0211448     	fluid_to_solid	-2.483453e+00	1.443121e+03	2.424824e-01
0.0213381     	fluid_to_solid	-2.477123e+00	1.448417e+03	2.434274e-01
0.0215314     	fluid_to_solid	-2.470703e+00	1.453643e+03	2.443607e-01
0.0217246     	fluid_to_solid	-2.464141e+00	1.458799e+03	2.452826e-01
0.0219179     	fluid_to_solid	-2.457379e+00	1.463888e+03	2.461935e-01
0.0221112     	fluid_to_solid	-2.450396e+00	1.468909e+03	2.470936e-01
0.0223045     	fluid_to_solid	-2.443176e+00	1.473865e+03	2.479829e-01
0.0224977     	fluid_to_solid	-2.435709e+00	1.478755e+03	2.488616e-01
0.022691      	fluid_to_solid	-2.428034e+00	1.483581e+03	2.497299e-01
0.0228843     	fluid_to_solid	-2.420193e+00	1.488344e+03	2.505878e-01
0.023078      	fluid_to_solid	-2.412208e+00	1.493035e+03	2.514317e-01
0.0232718     	fluid_to_solid	-2.404090e+00	1.497685e+03	2.522710e-01
0.0234656     	fluid_to_solid	-2.395938e+00	1.502274e+03	2.531000e-01
0.0236593     	fluid_to_solid	-2.387757e+00	1.506802e+03	2.539188e-01
0.0238531     	fluid_to_solid	-2.379569e+00	1.511271e+03	2.547274e-01
0.0240468     	fluid_to_solid	-2.371382e+00	1.515681e+03	2.555260e-01
0.0242406     	fluid_to_solid	-2.363207e+00	1.520032e+03	2.563147e-01
0.0244343     	fluid_to_solid	-2.355019e+00	1.524327e+03	2.570938e-01
0.0246281     	fluid_to_solid	-2.346788e+00	1.528565e+03	2.578633e-01
0.0248219     	fluid_to_solid	-2.338472e+00	1.532747e+03	2.586235e-01
0.0250156     	fluid_to_solid	-2.330044e+00	1.536875e+03	2.593746e-01
0.0252094     	fluid_to_solid	-2.321473e+00	1.540948e+03	2.601169e-01
0.0254031     	fluid_to_solid	-2.312711e+00	1.544969e+03	2.608504e-01
0.0255969     	fluid_to_solid	-2.303761e+00	1.548937e+03	2.615754e-01
0.0257912     	fluid_to_solid	-2.294571e+00	1.552845e+03	2.622882e-01
0.0259854     	fluid_to_solid	-2.285168e+00	1.556721e+03	2.629984e-01
