# Wall heat-flux
# Time        	patch         	min           	max           	integral      
0             	fluid_to_solid	0.000000e+00	0.000000e+00	0.000000e+00
0.1           	fluid_to_solid	-1.141136e+02	1.886283e+03	3.809904e-01
0.2           	fluid_to_solid	-2.077706e+02	1.912181e+03	4.896250e-01
0.3           	fluid_to_solid	-1.229864e+02	1.901612e+03	5.854344e-01
0.4           	fluid_to_solid	-1.098621e+02	1.889003e+03	6.747976e-01
0.5           	fluid_to_solid	-1.386986e+02	1.945496e+03	7.601299e-01
0.6           	fluid_to_solid	-4.658203e+01	1.991296e+03	8.432050e-01
0.7           	fluid_to_solid	-6.056896e+01	2.025168e+03	9.261962e-01
0.8           	fluid_to_solid	-1.349400e+01	2.053414e+03	1.013382e+00
0.9           	fluid_to_solid	5.748814e+01	2.078261e+03	1.096889e+00
1             	fluid_to_solid	6.722353e+01	2.099462e+03	1.163161e+00
1.1           	fluid_to_solid	9.507416e+01	2.118499e+03	1.233272e+00
1.2           	fluid_to_solid	1.254511e+02	2.136115e+03	1.294790e+00
1.3           	fluid_to_solid	1.466471e+02	2.152370e+03	1.356522e+00
1.4           	fluid_to_solid	1.721563e+02	2.167452e+03	1.413401e+00
1.5           	fluid_to_solid	1.916014e+02	2.181606e+03	1.469582e+00
1.6           	fluid_to_solid	2.045066e+02	2.195204e+03	1.523377e+00
1.7           	fluid_to_solid	2.163621e+02	2.219495e+03	1.572811e+00
1.8           	fluid_to_solid	2.264886e+02	2.245949e+03	1.621303e+00
1.9           	fluid_to_solid	2.363681e+02	2.270920e+03	1.665318e+00
2             	fluid_to_solid	2.455685e+02	2.294716e+03	1.709271e+00
2.1           	fluid_to_solid	2.543366e+02	2.317153e+03	1.749481e+00
2.2           	fluid_to_solid	2.626724e+02	2.338539e+03	1.788005e+00
2.3           	fluid_to_solid	2.704526e+02	2.358812e+03	1.824851e+00
2.4           	fluid_to_solid	2.781092e+02	2.378034e+03	1.858880e+00
2.5           	fluid_to_solid	2.851484e+02	2.396330e+03	1.892657e+00
2.6           	fluid_to_solid	2.918788e+02	2.413636e+03	1.923401e+00
2.7           	fluid_to_solid	2.981770e+02	2.430078e+03	1.953335e+00
2.8           	fluid_to_solid	3.044135e+02	2.445715e+03	1.981454e+00
2.9           	fluid_to_solid	3.100942e+02	2.460549e+03	2.007821e+00
3             	fluid_to_solid	3.157750e+02	2.474642e+03	2.033850e+00
3.1           	fluid_to_solid	3.204678e+02	2.487992e+03	2.057591e+00
3.2           	fluid_to_solid	3.256545e+02	2.500663e+03	2.080689e+00
3.3           	fluid_to_solid	3.301003e+02	2.512716e+03	2.102193e+00
3.4           	fluid_to_solid	3.346079e+02	2.524274e+03	2.122409e+00
3.5           	fluid_to_solid	3.394241e+02	2.535029e+03	2.142820e+00
3.6           	fluid_to_solid	3.417088e+02	2.545475e+03	2.160277e+00
3.7           	fluid_to_solid	3.485010e+02	2.555240e+03	2.178728e+00
3.8           	fluid_to_solid	3.486245e+02	2.564697e+03	2.193990e+00
3.9           	fluid_to_solid	3.486862e+02	2.573845e+03	2.208850e+00
4             	fluid_to_solid	3.477600e+02	2.581633e+03	2.226408e+00
4.1           	fluid_to_solid	3.622706e+02	2.590410e+03	2.233085e+00
4.2           	fluid_to_solid	3.495507e+02	2.598507e+03	2.251408e+00
4.3           	fluid_to_solid	3.651110e+02	2.609447e+03	2.253407e+00
4.4           	fluid_to_solid	3.582570e+02	2.624837e+03	2.260165e+00
4.5           	fluid_to_solid	3.615914e+02	2.645358e+03	2.278058e+00
4.6           	fluid_to_solid	3.895011e+02	2.663035e+03	2.266428e+00
4.7           	fluid_to_solid	3.670251e+02	2.681640e+03	2.291054e+00
4.8           	fluid_to_solid	3.960463e+02	2.697895e+03	2.283924e+00
4.9           	fluid_to_solid	3.743113e+02	2.714089e+03	2.284447e+00
5             	fluid_to_solid	3.838204e+02	2.729789e+03	2.308931e+00
