# Region type : patch bodyBottom
# Faces       : 100
# Area        : 4.000000e-04
# Scale factor: 1.000000e+00
# Time        	areaIntegrate(wallHeatFlux)
0.1           	9.905210e+02
0.2           	6.870222e+02
0.3           	5.578494e+02
0.4           	4.818609e+02
0.5           	4.302979e+02
0.6           	3.921992e+02
0.7           	3.623006e+02
0.8           	3.377062e+02
0.9           	3.167068e+02
1             	2.982373e+02
1.1           	2.816272e+02
1.2           	2.664410e+02
1.3           	2.523931e+02
1.4           	2.392897e+02
1.5           	2.269987e+02
1.6           	2.154252e+02
1.7           	2.044982e+02
1.8           	1.941639e+02
1.9           	1.843779e+02
2             	1.751047e+02
2.1           	1.663122e+02
2.2           	1.579726e+02
2.3           	1.500609e+02
2.4           	1.425537e+02
2.5           	1.354300e+02
2.6           	1.286692e+02
2.7           	1.222530e+02
2.8           	1.161634e+02
2.9           	1.103836e+02
3             	1.048980e+02
3.1           	9.969139e+01
3.2           	9.474964e+01
3.3           	9.005915e+01
3.4           	8.560716e+01
3.5           	8.138168e+01
3.6           	7.737089e+01
3.7           	7.356416e+01
3.8           	6.995077e+01
3.9           	6.652070e+01
4             	6.326557e+01
4.1           	6.017471e+01
4.2           	5.724080e+01
4.3           	5.445532e+01
4.4           	5.180779e+01
4.5           	4.929769e+01
4.6           	4.691346e+01
4.7           	4.464822e+01
4.8           	4.250111e+01
4.9           	4.046003e+01
5             	3.852584e+01
