# Region type : patch bodyBottom
# Faces       : 100
# Area        : 4.000000e-04
# Scale factor: 1.000000e+00
# Time        	areaIntegrate(wallHeatFlux)
0             	4.920000e+03
0.1           	9.905190e+02
0.2           	6.870198e+02
0.3           	5.578485e+02
0.4           	4.818607e+02
0.5           	4.302975e+02
0.6           	3.922003e+02
0.7           	3.622990e+02
0.8           	3.377080e+02
0.9           	3.167070e+02
1             	2.982397e+02
1.1           	2.816274e+02
1.2           	2.664410e+02
1.3           	2.523911e+02
1.4           	2.392850e+02
1.5           	2.269957e+02
1.6           	2.154189e+02
1.7           	2.044949e+02
1.8           	1.941604e+02
1.9           	1.843811e+02
2             	1.751028e+02
2.1           	1.663108e+02
2.2           	1.579689e+02
2.3           	1.500641e+02
2.4           	1.425537e+02
2.5           	1.354287e+02
2.6           	1.286728e+02
2.7           	1.222571e+02
2.8           	1.161596e+02
2.9           	1.103892e+02
3             	1.048977e+02
3.1           	9.969478e+01
3.2           	9.473870e+01
3.3           	9.005568e+01
3.4           	8.561210e+01
3.5           	8.137188e+01
3.6           	7.736700e+01
3.7           	7.356302e+01
3.8           	6.995338e+01
3.9           	6.651758e+01
4             	6.326300e+01
4.1           	6.018390e+01
4.2           	5.724010e+01
4.3           	5.445620e+01
4.4           	5.181170e+01
4.5           	4.930086e+01
4.6           	4.691548e+01
4.7           	4.464900e+01
4.8           	4.249568e+01
4.9           	4.046208e+01
5             	3.852606e+01
