# Region type : patch bodyBottom
# Faces       : 100
# Area        : 4.000000e-04
# Scale factor: 1.000000e+00
# Time        	areaAverage(T)
0             	3.530000e+02
0.1           	3.530000e+02
0.2           	3.530000e+02
0.3           	3.530000e+02
0.4           	3.530000e+02
0.5           	3.530000e+02
0.6           	3.530000e+02
0.7           	3.530000e+02
0.8           	3.530000e+02
0.9           	3.530000e+02
1             	3.530000e+02
1.1           	3.530000e+02
1.2           	3.530000e+02
1.3           	3.530000e+02
1.4           	3.530000e+02
1.5           	3.530000e+02
1.6           	3.530000e+02
1.7           	3.530000e+02
1.8           	3.530000e+02
1.9           	3.530000e+02
2             	3.530000e+02
2.1           	3.530000e+02
2.2           	3.530000e+02
2.3           	3.530000e+02
2.4           	3.530000e+02
2.5           	3.530000e+02
2.6           	3.530000e+02
2.7           	3.530000e+02
2.8           	3.530000e+02
2.9           	3.530000e+02
3             	3.530000e+02
3.1           	3.530000e+02
3.2           	3.530000e+02
3.3           	3.530000e+02
3.4           	3.530000e+02
3.5           	3.530000e+02
3.6           	3.530000e+02
3.7           	3.530000e+02
3.8           	3.530000e+02
3.9           	3.530000e+02
4             	3.530000e+02
4.1           	3.530000e+02
4.2           	3.530000e+02
4.3           	3.530000e+02
4.4           	3.530000e+02
4.5           	3.530000e+02
4.6           	3.530000e+02
4.7           	3.530000e+02
4.8           	3.530000e+02
4.9           	3.530000e+02
5             	3.530000e+02
