# Region type : patch solid_to_fluid
# Faces       : 500
# Area        : 2.000000e-03
# Scale factor: 1.000000e+00
# Time        	areaIntegrate(wallHeatFlux)
0.1           	-3.819721e-01
0.2           	-4.903556e-01
0.3           	-5.860631e-01
0.4           	-6.753827e-01
0.5           	-7.606841e-01
0.6           	-8.437376e-01
0.7           	-9.266969e-01
0.8           	-1.013861e+00
0.9           	-1.097345e+00
1             	-1.163597e+00
1.1           	-1.233683e+00
1.2           	-1.295181e+00
1.3           	-1.356892e+00
1.4           	-1.413754e+00
1.5           	-1.469915e+00
1.6           	-1.523700e+00
1.7           	-1.573115e+00
1.8           	-1.621591e+00
1.9           	-1.665591e+00
2             	-1.709529e+00
2.1           	-1.749728e+00
2.2           	-1.788238e+00
2.3           	-1.825074e+00
2.4           	-1.859093e+00
2.5           	-1.892859e+00
2.6           	-1.923592e+00
2.7           	-1.953517e+00
2.8           	-1.981625e+00
2.9           	-2.007981e+00
3             	-2.033996e+00
3.1           	-2.057738e+00
3.2           	-2.080829e+00
3.3           	-2.102324e+00
3.4           	-2.122531e+00
3.5           	-2.142941e+00
3.6           	-2.160391e+00
3.7           	-2.178832e+00
3.8           	-2.194095e+00
3.9           	-2.208949e+00
4             	-2.226503e+00
4.1           	-2.233172e+00
4.2           	-2.251491e+00
4.3           	-2.253484e+00
4.4           	-2.260237e+00
4.5           	-2.278127e+00
4.6           	-2.266497e+00
4.7           	-2.291114e+00
4.8           	-2.283986e+00
4.9           	-2.284504e+00
5             	-2.308985e+00
