# Region type : patch solid_to_fluid
# Faces       : 500
# Area        : 2.000000e-03
# Scale factor: 1.000000e+00
# Time        	areaIntegrate(wallHeatFlux)
0             	0.000000e+00
0.1           	-3.652280e+00
0.2           	-2.897880e+00
0.3           	-2.667460e+00
0.4           	-2.620720e+00
0.5           	-2.601860e+00
0.6           	-2.610880e+00
0.7           	-2.601040e+00
0.8           	-2.605140e+00
0.9           	-2.609240e+00
1             	-2.603500e+00
1.1           	-2.604320e+00
1.2           	-2.604320e+00
1.3           	-2.597760e+00
1.4           	-2.595300e+00
1.5           	-2.575620e+00
1.6           	-2.579720e+00
1.7           	-2.576440e+00
1.8           	-2.574800e+00
1.9           	-2.560860e+00
2             	-2.559220e+00
2.1           	-2.569060e+00
2.2           	-2.566600e+00
2.3           	-2.572340e+00
2.4           	-2.555120e+00
2.5           	-2.557580e+00
2.6           	-2.560860e+00
2.7           	-2.561680e+00
2.8           	-2.543640e+00
2.9           	-2.534620e+00
3             	-2.521500e+00
3.1           	-2.542000e+00
3.2           	-2.548560e+00
3.3           	-2.546920e+00
3.4           	-2.536260e+00
3.5           	-2.561680e+00
3.6           	-2.537900e+00
3.7           	-2.522320e+00
3.8           	-2.547740e+00
3.9           	-2.524780e+00
4             	-2.537900e+00
4.1           	-2.508380e+00
4.2           	-2.524780e+00
4.3           	-2.510020e+00
4.4           	-2.489520e+00
4.5           	-2.502640e+00
4.6           	-2.503460e+00
4.7           	-2.490340e+00
4.8           	-2.496900e+00
4.9           	-2.456720e+00
5             	-2.484600e+00
