# Region      : all solid
# Cells       : 1000
# Volume      : 8.000000e-06
# Time        	volAverage(T)
0.1           	3.025215e+02
0.2           	3.066893e+02
0.3           	3.098532e+02
0.4           	3.125100e+02
0.5           	3.148453e+02
0.6           	3.169524e+02
0.7           	3.188857e+02
0.8           	3.206792e+02
0.9           	3.223555e+02
1             	3.239302e+02
1.1           	3.254146e+02
1.2           	3.268169e+02
1.3           	3.281439e+02
1.4           	3.294008e+02
1.5           	3.305922e+02
1.6           	3.317219e+02
1.7           	3.327936e+02
1.8           	3.338103e+02
1.9           	3.347750e+02
2             	3.356906e+02
2.1           	3.365595e+02
2.2           	3.373841e+02
2.3           	3.381668e+02
2.4           	3.389096e+02
2.5           	3.396146e+02
2.6           	3.402838e+02
2.7           	3.409190e+02
2.8           	3.415218e+02
2.9           	3.420940e+02
3             	3.426371e+02
3.1           	3.431526e+02
3.2           	3.436418e+02
3.3           	3.441062e+02
3.4           	3.445470e+02
3.5           	3.449653e+02
3.6           	3.453624e+02
3.7           	3.457393e+02
3.8           	3.460971e+02
3.9           	3.464366e+02
4             	3.467589e+02
4.1           	3.470648e+02
4.2           	3.473551e+02
4.3           	3.476307e+02
4.4           	3.478923e+02
4.5           	3.481406e+02
4.6           	3.483762e+02
4.7           	3.485999e+02
4.8           	3.488122e+02
4.9           	3.490138e+02
5             	3.492050e+02
