# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
0.1           	T             	2.930019e+02	(8.100000e-02 5.100000e-02 2.000000e-02)	11	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
0.2           	T             	2.931165e+02	(8.900000e-02 6.100000e-02 2.000000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
0.3           	T             	2.937043e+02	(8.900000e-02 6.100000e-02 2.000000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
0.4           	T             	2.949271e+02	(8.900000e-02 6.100000e-02 2.000000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
0.5           	T             	2.966669e+02	(8.900000e-02 6.100000e-02 2.000000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
0.6           	T             	2.987360e+02	(8.000000e-02 6.100000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
0.7           	T             	3.009778e+02	(8.000000e-02 6.100000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
0.8           	T             	3.032864e+02	(8.000000e-02 6.100000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
0.9           	T             	3.055931e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
1             	T             	3.078539e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
1.1           	T             	3.100459e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
1.2           	T             	3.121556e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
1.3           	T             	3.141765e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
1.4           	T             	3.161063e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
1.5           	T             	3.179453e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
1.6           	T             	3.196954e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
1.7           	T             	3.213594e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
1.8           	T             	3.229407e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
1.9           	T             	3.244427e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
2             	T             	3.258691e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
2.1           	T             	3.272234e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
2.2           	T             	3.285091e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
2.3           	T             	3.297296e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
2.4           	T             	3.308882e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
2.5           	T             	3.319880e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
2.6           	T             	3.330318e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
2.7           	T             	3.340226e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
2.8           	T             	3.349631e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
2.9           	T             	3.358557e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
3             	T             	3.367029e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
3.1           	T             	3.375071e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
3.2           	T             	3.382704e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
