# Field minima and maxima
# Time        	field         	min           	location(min) 	max           	location(max) 
0             	T             	2.930000e+02	(8.100000e-02 5.100000e-02 1.000000e-03)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
0.1           	T             	2.930020e+02	(8.100000e-02 5.100000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
0.2           	T             	2.931170e+02	(8.500000e-02 5.500000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
0.3           	T             	2.937040e+02	(8.900000e-02 5.900000e-02 2.000000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
0.4           	T             	2.949270e+02	(8.900000e-02 5.900000e-02 2.000000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
0.5           	T             	2.966670e+02	(8.900000e-02 5.900000e-02 2.000000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
0.6           	T             	2.987360e+02	(8.000000e-02 5.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
0.7           	T             	3.009780e+02	(8.000000e-02 5.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
0.8           	T             	3.032860e+02	(8.000000e-02 5.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
0.9           	T             	3.055930e+02	(8.000000e-02 5.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
1             	T             	3.078540e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
1.1           	T             	3.100460e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
1.2           	T             	3.121560e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
1.3           	T             	3.141770e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
1.4           	T             	3.161060e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
1.5           	T             	3.179450e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
1.6           	T             	3.196950e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
1.7           	T             	3.213590e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
1.8           	T             	3.229410e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
1.9           	T             	3.244430e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
2             	T             	3.258690e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
2.1           	T             	3.272230e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
2.2           	T             	3.285090e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
2.3           	T             	3.297300e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
2.4           	T             	3.308880e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
2.5           	T             	3.319880e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
2.6           	T             	3.330320e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
2.7           	T             	3.340230e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
2.8           	T             	3.349630e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
2.9           	T             	3.358560e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
3             	T             	3.367030e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
3.1           	T             	3.375070e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
3.2           	T             	3.382700e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
3.3           	T             	3.389950e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
3.4           	T             	3.396820e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	3.530000e+02	(8.100000e-02 5.100000e-02 0.000000e+00)
