# Wall heat-flux
# Time        	patch         	min           	max           	integral      
0.000120048   	bodyBottom	1.223818e+07	1.223819e+07	4.895274e+03
0.000120048   	solid_to_fluid	-1.869504e+01	6.970824e-05	-2.991353e-03
0.000254295   	bodyBottom	1.216964e+07	1.216964e+07	4.867856e+03
0.000254295   	solid_to_fluid	-3.971643e+01	6.454769e-01	-6.362072e-03
0.000393995   	bodyBottom	1.209893e+07	1.209894e+07	4.839574e+03
0.000393995   	solid_to_fluid	-6.529442e+01	5.208945e+00	-9.815789e-03
0.000542218   	bodyBottom	1.202461e+07	1.202461e+07	4.809843e+03
0.000542218   	solid_to_fluid	-8.780648e+01	5.907043e+00	-1.336930e-02
0.00069594    	bodyBottom	1.194826e+07	1.194827e+07	4.779306e+03
0.00069594    	solid_to_fluid	-1.098786e+02	5.771691e+00	-1.702198e-02
0.000853565   	bodyBottom	1.187075e+07	1.187076e+07	4.748300e+03
0.000853565   	solid_to_fluid	-1.321690e+02	5.683022e+00	-2.075046e-02
0.00101504    	bodyBottom	1.179214e+07	1.179215e+07	4.716856e+03
0.00101504    	solid_to_fluid	-1.545991e+02	5.610904e+00	-2.452681e-02
0.00118002    	bodyBottom	1.171265e+07	1.171266e+07	4.685060e+03
0.00118002    	solid_to_fluid	-1.770450e+02	5.532331e+00	-2.831362e-02
0.00134808    	bodyBottom	1.163251e+07	1.163253e+07	4.653007e+03
0.00134808    	solid_to_fluid	-1.994323e+02	5.447987e+00	-3.209399e-02
0.00151846    	bodyBottom	1.155213e+07	1.155215e+07	4.620853e+03
0.00151846    	solid_to_fluid	-2.216581e+02	5.358258e+00	-3.585822e-02
0.00169093    	bodyBottom	1.147163e+07	1.147165e+07	4.588653e+03
0.00169093    	solid_to_fluid	-2.436923e+02	5.262877e+00	-3.960749e-02
0.00186524    	bodyBottom	1.139114e+07	1.139117e+07	4.556461e+03
0.00186524    	solid_to_fluid	-2.659256e+02	5.164796e+00	-4.333542e-02
0.00204142    	bodyBottom	1.131068e+07	1.131071e+07	4.524275e+03
0.00204142    	solid_to_fluid	-2.880780e+02	5.079390e+00	-4.703729e-02
0.00221921    	bodyBottom	1.123037e+07	1.123041e+07	4.492153e+03
0.00221921    	solid_to_fluid	-3.100480e+02	5.010607e+00	-5.070148e-02
0.00239862    	bodyBottom	1.115022e+07	1.115026e+07	4.460094e+03
0.00239862    	solid_to_fluid	-3.317889e+02	4.946621e+00	-5.432478e-02
0.0025797     	bodyBottom	1.107023e+07	1.107028e+07	4.428097e+03
0.0025797     	solid_to_fluid	-3.533025e+02	4.886395e+00	-5.790604e-02
0.00276248    	bodyBottom	1.099039e+07	1.099044e+07	4.396162e+03
0.00276248    	solid_to_fluid	-3.745935e+02	4.829574e+00	-6.144614e-02
0.00294664    	bodyBottom	1.091085e+07	1.091091e+07	4.364348e+03
0.00294664    	solid_to_fluid	-3.956284e+02	4.776388e+00	-6.494069e-02
0.00313115    	bodyBottom	1.083207e+07	1.083213e+07	4.332834e+03
0.00313115    	solid_to_fluid	-4.162968e+02	4.727030e+00	-6.837345e-02
0.00331566    	bodyBottom	1.075417e+07	1.075424e+07	4.301674e+03
0.00331566    	solid_to_fluid	-4.366521e+02	4.680734e+00	-7.174255e-02
0.00350018    	bodyBottom	1.067714e+07	1.067722e+07	4.270865e+03
0.00350018    	solid_to_fluid	-4.566821e+02	4.636070e+00	-7.505224e-02
0.00368504    	bodyBottom	1.060084e+07	1.060092e+07	4.240344e+03
0.00368504    	solid_to_fluid	-4.764054e+02	4.592114e+00	-7.831230e-02
0.00386991    	bodyBottom	1.052539e+07	1.052549e+07	4.210167e+03
0.00386991    	solid_to_fluid	-4.957926e+02	4.546330e+00	-8.151965e-02
0.00405477    	bodyBottom	1.045079e+07	1.045089e+07	4.180328e+03
0.00405477    	solid_to_fluid	-5.148525e+02	4.498599e+00	-8.467703e-02
0.00423964    	bodyBottom	1.037703e+07	1.037714e+07	4.150824e+03
0.00423964    	solid_to_fluid	-5.335940e+02	4.447242e+00	-8.778704e-02
0.0044245     	bodyBottom	1.030410e+07	1.030421e+07	4.121650e+03
0.0044245     	solid_to_fluid	-5.520252e+02	4.393246e+00	-9.085134e-02
0.00460973    	bodyBottom	1.023184e+07	1.023196e+07	4.092747e+03
0.00460973    	solid_to_fluid	-5.701882e+02	4.336623e+00	-9.387672e-02
0.00479495    	bodyBottom	1.016038e+07	1.016051e+07	4.064167e+03
0.00479495    	solid_to_fluid	-5.880534e+02	4.278098e+00	-9.685748e-02
0.00498018    	bodyBottom	1.008973e+07	1.008987e+07	4.035907e+03
0.00498018    	solid_to_fluid	-6.056263e+02	4.218272e+00	-9.979342e-02
0.00516576    	bodyBottom	1.001973e+07	1.001988e+07	4.007907e+03
0.00516576    	solid_to_fluid	-6.229457e+02	4.157800e+00	-1.026893e-01
0.00535135    	bodyBottom	9.950510e+06	9.950664e+06	3.980220e+03
0.00535135    	solid_to_fluid	-6.399816e+02	4.097306e+00	-1.055382e-01
0.00553693    	bodyBottom	9.882060e+06	9.882223e+06	3.952841e+03
0.00553693    	solid_to_fluid	-6.567391e+02	4.038225e+00	-1.083391e-01
0.00572288    	bodyBottom	9.814241e+06	9.814412e+06	3.925714e+03
0.00572288    	solid_to_fluid	-6.732554e+02	3.981119e+00	-1.110967e-01
0.00590883    	bodyBottom	9.747175e+06	9.747355e+06	3.898888e+03
0.00590883    	solid_to_fluid	-6.895023e+02	3.926803e+00	-1.138054e-01
0.00609515    	bodyBottom	9.680726e+06	9.680914e+06	3.872309e+03
0.00609515    	solid_to_fluid	-7.055167e+02	3.875344e+00	-1.164714e-01
0.00628147    	bodyBottom	9.615014e+06	9.615212e+06	3.846025e+03
0.00628147    	solid_to_fluid	-7.212713e+02	3.826531e+00	-1.190905e-01
0.00646816    	bodyBottom	9.549904e+06	9.550111e+06	3.819982e+03
0.00646816    	solid_to_fluid	-7.368027e+02	3.779909e+00	-1.216693e-01
0.00665485    	bodyBottom	9.485517e+06	9.485732e+06	3.794228e+03
0.00665485    	solid_to_fluid	-7.520847e+02	3.735050e+00	-1.242045e-01
0.00684192    	bodyBottom	9.421717e+06	9.421942e+06	3.768709e+03
0.00684192    	solid_to_fluid	-7.671532e+02	3.691671e+00	-1.267034e-01
0.00702898    	bodyBottom	9.358625e+06	9.358859e+06	3.743473e+03
0.00702898    	solid_to_fluid	-7.819832e+02	3.649160e+00	-1.291636e-01
0.00721642    	bodyBottom	9.296107e+06	9.296350e+06	3.718466e+03
0.00721642    	solid_to_fluid	-7.966096e+02	3.606483e+00	-1.315921e-01
0.00740386    	bodyBottom	9.234281e+06	9.234534e+06	3.693737e+03
0.00740386    	solid_to_fluid	-8.110077e+02	3.575322e+00	-1.339863e-01
0.00759131    	bodyBottom	9.173139e+06	9.173402e+06	3.669281e+03
