# Wall heat-flux
# Time        	patch         	min           	max           	integral      
0             	bodyBottom	1.230000e+07	1.230000e+07	4.920000e+03
0             	solid_to_fluid	0.000000e+00	0.000000e+00	0.000000e+00
0.1           	bodyBottom	2.475785e+06	2.478245e+06	9.905190e+02
0.1           	solid_to_fluid	-7.175000e+03	0.000000e+00	-3.652280e+00
0.2           	bodyBottom	1.716875e+06	1.719745e+06	6.870198e+02
0.2           	solid_to_fluid	-4.305000e+03	0.000000e+00	-2.897880e+00
0.3           	bodyBottom	1.394000e+06	1.397075e+06	5.578485e+02
0.3           	solid_to_fluid	-3.280000e+03	-2.050000e+02	-2.667460e+00
0.4           	bodyBottom	1.203965e+06	1.207245e+06	4.818607e+02
0.4           	solid_to_fluid	-2.870000e+03	-6.150000e+02	-2.620720e+00
0.5           	bodyBottom	1.075020e+06	1.078505e+06	4.302975e+02
0.5           	solid_to_fluid	-2.665000e+03	-6.150000e+02	-2.601860e+00
0.6           	bodyBottom	9.799000e+05	9.833850e+05	3.922003e+02
0.6           	solid_to_fluid	-2.665000e+03	-8.200000e+02	-2.610880e+00
0.7           	bodyBottom	9.050750e+05	9.085600e+05	3.622990e+02
0.7           	solid_to_fluid	-2.460000e+03	-6.150000e+02	-2.601040e+00
0.8           	bodyBottom	8.435750e+05	8.472650e+05	3.377080e+02
0.8           	solid_to_fluid	-2.460000e+03	-6.150000e+02	-2.605140e+00
0.9           	bodyBottom	7.910950e+05	7.947850e+05	3.167070e+02
0.9           	solid_to_fluid	-2.460000e+03	-6.150000e+02	-2.609240e+00
1             	bodyBottom	7.449700e+05	7.486600e+05	2.982397e+02
1             	solid_to_fluid	-2.460000e+03	-6.150000e+02	-2.603500e+00
1.1           	bodyBottom	7.033550e+05	7.072500e+05	2.816274e+02
1.1           	solid_to_fluid	-2.460000e+03	-6.150000e+02	-2.604320e+00
1.2           	bodyBottom	6.654300e+05	6.693250e+05	2.664410e+02
1.2           	solid_to_fluid	-2.460000e+03	-6.150000e+02	-2.604320e+00
1.3           	bodyBottom	6.301700e+05	6.342700e+05	2.523911e+02
